issuer,release_period,metric,value,currency,scale,pdf_page,quote,source_file,source_url,status
Sea/Shopee,2024 Q2,GMV,23.3,USD,billion,1,"illion for the quarter, increasing by 40.3% year-on-year. o GMV was US$23.3 billion for the quarter, increasing by 29.1% year-on-year. o GAAP revenue was US$2.8 billion, up 33.7% year-on-year. o GAAP revenue included US$2.5 billion of GAA",raw/sea/8d0dfcfb39aa_2024.08.13_20Sea_20Second_20Quarter_202024_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2024/TWIFPvNsKrWONCEaa711/2024.08.13%20Sea%20Second%20Quarter%202024%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2024 Q1,GMV,23.6,USD,billion,2,"illion for the quarter, increasing by 56.8% year-on-year. o GMV was US$23.6 billion for the quarter, increasing by 36.3% year-on-year. o GAAP revenue was US$2.7 billion, up 32.9% year-on-year. o GAAP revenue included US$2.4 billion of GAA",raw/sea/e9304242e8e0_2024.05.14_20Sea_20First_20Quarter_202024_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/1Q2024/RaOK5KBcEryjDR0lKovo/2024.05.14%20Sea%20First%20Quarter%202024%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2023 Q4,GMV,23.1,USD,billion,2,"asing by 46.0% year-on-year and 13.4% quarter-on-quarter. o GMV was US$23.1 billion for the quarter, increasing by 28.6% year-on-year and 15.3% quarter-on-quarter. ▪ Digital Financial Services o GAAP revenue was US$472.4 million, up 24.3%",raw/sea/c3e589b29fdc_2024.03.04_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202023_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2023/STWdlYqdqwmJntN4lrDk/2024.03.04%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202023%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2023 Q4,GMV,78.5,USD,billion,3,"o Gross orders totaled 8.2 billion, up 8.8% year-on-year. o GMV was US$78.5 billion, up 6.8% year-on-year. ▪ Digital Financial Services o GAAP revenue was US$1.8 billion, up 44.0% year-on-year. o Adjusted EBITD",raw/sea/c3e589b29fdc_2024.03.04_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202023_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2023/STWdlYqdqwmJntN4lrDk/2024.03.04%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202023%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2023 Q3,GMV,20.1,USD,billion,2,"asing by 13.2% year-on-year and 23.6% quarter-on-quarter. o GMV was US$20.1 billion for the quarter, increasing by 5.1% year-on-year and 11.2% quarter-on quarter. ▪ Digital Entertainment o GAAP revenue was US$592.2 million, up 11.9% quar",raw/sea/207edfe549ab_2023.11.14_20Sea_20Third_20Quarter_202023_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/3Q2023/IHSjOkqngRV7jsWYPwh4/2023.11.14%20Sea%20Third%20Quarter%202023%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2022 Q4,GMV,18.0,USD,billion,2," as compared to 2.0 billion for the fourth quarter of 2021. Gross merchandise value (“GMV”) was US$18.0 billion, as compared to US$18.2 billion for the fourth quarter of 2021. Based on constant currency assumptions2, GMV was up 7.7% year-on-year. Beginni",raw/sea/bdb371f5f1cd_2023.03.07_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202022_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2022/ul1GKrCrOCOe0FFQKjXq/2023.03.07%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202022%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2022 Q4,GMV,73.5,USD,billion,3," Gross orders totaled 7.6 billion, up 23.7% year-on-year. o GMV was US$73.5 billion, up 17.6% year-on-year. Based on constant currency assumptions2, GMV was up 24.0% year-on-year. ▪ Digital Entertainment o GAAP ",raw/sea/bdb371f5f1cd_2023.03.07_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202022_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2022/ul1GKrCrOCOe0FFQKjXq/2023.03.07%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202022%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2022 Q3,GMV,19.1,USD,billion,2,"illion for the quarter, increasing by 19.2% year-on-year. o GMV was US$19.1 billion for the quarter, increasing by 13.5% year-on-year. Based on constant currency assumptions3, GMV was up 21.4% year-on-year. o GAAP sales and marketing expe",raw/sea/5287a9ae9ac1_2022.11.15_20Sea_20Third_20Quarter_202022_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/3Q2022/v1uggNmedOBljU9mEeiU/2022.11.15%20Sea%20Third%20Quarter%202022%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2022 Q2,GMV,19.0,USD,billion,2,"s totaled 2.0 billion, an increase of 41.6% year-on-year. o GMV was US$19.0 billion, an increase of 27.2% year-on-year. Based on constant currency assumptions3, GMV was up 31.4% year-on-year. o Gross profit margin for e-com",raw/sea/de71fd3ff88a_2022.08.16_20Sea_20Second_20Quarter_202022_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2022/uXxGiCr8oTGxOFTPhBUB/2022.08.16%20Sea%20Second%20Quarter%202022%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2022 Q1,GMV,17.4,USD,billion,2,"s totaled 1.9 billion, an increase of 71.3% year-on-year. o GMV was US$17.4 billion, an increase of 38.7% year-on-year. o Gross profit margin for e-commerce improved year-on-year as we have seen faster growth of transaction",raw/sea/4444194407a0_2022.05.17_20Sea_20First_20Quarter_202022_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/1Q2022/jMwu2u17Tp3acr3vcL1m/2022.05.17%20Sea%20First%20Quarter%202022%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2021 Q4,GMV,18.2,USD,billion,3,"s totaled 2.0 billion, an increase of 90.1% year-on-year. o Gross merchandise value (“GMV”) was US$18.2 billion, an increase of 52.7% year- on-year. o Adjusted EBITDA1 was US$(877.7) million compared to US$(427.5) million for the fourth quarter of 202",raw/sea/e075761cd350_2022.03.01_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202021_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2021/7xN3dPdXRT0z3Oe5/2022.03.01%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202021%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2021 Q4,GMV,62.5,USD,billion,4," totaled 6.1 billion, an increase of 116.5% year-on-year. o GMV was US$62.5 billion, an increase of 76.8% year-on-year. o Adjusted EBITDA1 was US$(2.6) billion compared to US$(1.3) billion for the full year of 2020. o Adjus",raw/sea/e075761cd350_2022.03.01_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202021_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2021/7xN3dPdXRT0z3Oe5/2022.03.01%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202021%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2021 Q3,GMV,16.8,USD,billion,2,"utive quarters of triple digit year-on-year order growth. o Gross merchandise value (“GMV”) was US$16.8 billion, an increase of 80.6% year- on-year. o Adjusted EBITDA1 was US$(683.8) million compared to US$(301.6) million for the third quarter of 2020",raw/sea/3105e2588e86_2021.11.16_20Sea_20Third_20Quarter_202021_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/3Q2021/8cedKv6Ir8rbcPLPT91S/2021.11.16%20Sea%20Third%20Quarter%202021%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2021 Q2,GMV,15.0,USD,billion,2," totaled 1.4 billion, an increase of 127.4% year-on-year. o Gross merchandise value (“GMV”) was US$15.0 billion, an increase of 87.5% year- on-year. o Adjusted EBITDA1 was US$(579.8) million compared to US$(313.7) million for the second quarter of 202",raw/sea/f795335ec54e_2021.08.17_20Sea_20Second_20Quarter_202021_20Results.pdf.pdf,http://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2021/47wCdeAwhAgboSEWXvRo/2021.08.17%20Sea%20Second%20Quarter%202021%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2021 Q1,GMV,12.6,USD,billion,1," totaled 1.1 billion, an increase of 153.0% year-on-year. o Gross merchandise value (“GMV”) was US$12.6 billion, an increase of 103.2% year-on-year. o Adjusted EBITDA1 was US$(412.9) million compared to US$(264.1) million for the first quarter of 2020.",raw/sea/4b7408ef89af_2021.05.18_20Sea_20First_20Quarter_202021_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/1Q2021/yweIaI9GpS/2021.05.18%20Sea%20First%20Quarter%202021%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2020 Q4,GMV,11.9,USD,billion,2," totaled 1.0 billion, an increase of 134.6% year-on-year. o Gross merchandise value (“GMV”) was US$11.9 billion, an increase of 112.5% year-on-year. o Adjusted EBITDA1 was US$(427.5) million compared to US$(306.2) million for the fourth quarter of 2019",raw/sea/78ff8c774aea_2021.03.02_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202020_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2020/khiWHUxulNOmaecf/2021.03.02%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202020%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2020 Q4,GMV,35.4,USD,billion,3," totaled 2.8 billion, an increase of 132.8% year-on-year. o Gross merchandise value (“GMV”) was US$35.4 billion, an increase of 101.1% year-on-year. o Adjusted EBITDA1 was US$(1.3) billion compared to US$(1.0) billion for the full year of 2019. Adjuste",raw/sea/78ff8c774aea_2021.03.02_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202020_20Results.pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/4Q2020/khiWHUxulNOmaecf/2021.03.02%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202020%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2020 Q3,GMV,9.3,USD,billion,1,"otaled 741.6 million, an increase of 130.7% year-on-year. o Gross merchandise value (“GMV”) was US$9.3 billion, an increase of 102.7% year- on-year. 1 ",raw/sea/e89e948ab40e_2020.11.17_20Sea_20Third_20Quarter_202020_20Results..pdf.pdf,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/3Q2020/2020.11.17%20Sea%20Third%20Quarter%202020%20Results..pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2019 Q3,GMV,4.6,USD,billion,2,"n- year from 158.5 million for the third quarter of 2018. o Gross merchandise value (“GMV”) was US$4.6 billion, an increase of 69.9% year- on-year from US$2.7 billion for the third quarter of 2018. o Adjusted revenue as a percentage of total GMV incr",raw/sea/7b74385d3169_2019-11-12_20Sea_20Third_20Quarter_202019_20Results_20.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2019-11-12%20Sea%20Third%20Quarter%202019%20Results%20.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2019 Q4,GMV,5.6,USD,billion,2,"- year from 206.9 million for the fourth quarter of 2018. o Gross merchandise value (“GMV”) was US$5.6 billion, an increase of 64.8% year- on-year from US$3.4 billion for the fourth quarter of 2018. o Adjusted revenue as a percentage of total GMV inc",raw/sea/ff681d2f2c37_2020-03-03_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202019_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2020-03-03%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202019%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2019 Q4,GMV,17.6,USD,billion,3,"ear-on-year from 604.5 million for the full year of 2018. o GMV was US$17.6 billion, an increase of 71.0% year-on-year from US$10.3 billion for the full year of 2018. o Adjusted revenue as a percentage of total GMV increase",raw/sea/ff681d2f2c37_2020-03-03_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202019_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2020-03-03%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202019%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2019 Q2,GMV,3.8,USD,billion,2,"year from US$21.5 million for the second quarter of 2018. o Gross merchandise value (“GMV”) was US$3.8 billion, an increase of 72.3% year- on-year from US$2.2 billion for the second quarter of 2018. o Adjusted revenue as a percentage of total GMV inc",raw/sea/3de2c2319d35_2019-08-20_20Sea_20Second_20Quarter_202019_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/pressrelease/2019-08-20%20Sea%20Second%20Quarter%202019%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2019 Q1,GMV,3.5,USD,billion,2,"arter from US$39.3 million in the fourth quarter of 2018. o Gross merchandise value (“GMV”) was US$3.5 billion, an increase of 81.8% year- on-year from US$1.9 billion for the first quarter of 2018 and up 3.0% quarter-on- quarter from US$3.4 billion f",raw/sea/b2331d54c0a3_2019-05-22_20Sea_20First_20Quarter_202019_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/pressrelease/2019-05-22%20Sea%20First%20Quarter%202019%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q4,GMV,3.4,USD,billion,2," o GMV was US$3.4 billion for the fourth quarter of 2018, up 27.3% quarter-on- quarter from US$2.7 billion for the third quarter of 2018. o Gross orders for the fourth quarter of 2018 ",raw/sea/887a5af29192_2019-02-27_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/pressrelease/2019-02-27%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q4,GMV,3.4,USD,billion,3,"17 and US$0.8 for the third quarter of 2018.  E-commerce o GMV was US$3.4 billion, an increase of 117.0% year-on-year from US$1.6 billion for the fourth quarter of 2017 and up 27.3% quarter-on-quarter from US$2.7 billion f",raw/sea/887a5af29192_2019-02-27_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/pressrelease/2019-02-27%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q4,GMV,10.3,USD,billion,4," US$174.9 million for the full year of 2017.  E-commerce o GMV was US$10.3 billion, an increase of 149.9% year-on-year from US$4.1 billion for the full year of 2017. o Gross orders totaled 604.5 million, an increase of 146.",raw/sea/887a5af29192_2019-02-27_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/pressrelease/2019-02-27%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q3,GMV,2.7,USD,billion,2,"E-commerce o Gross merchandise value (“GMV”) was US$2.7 billion, an increase of 152.7% year- on-year from US$1.1 billion for the third quarter of 2017 and up 21.1% quarter- on-quarter from US$2.2 billion ",raw/sea/6706f88db94e_2018-11-21_20_20-_20Sea_20Third_20Quarter_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2018-11-21%20%20-%20Sea%20Third%20Quarter%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q2,GMV,2.2,USD,billion,2,"17 and US$1.2 for the first quarter of 2018.  E-commerce o Gross merchandise value (“GMV”) was US$2.2 billion, an increase of 170.6% year- on-year from US$821.2 million for the second quarter of 2017 and up 14.4% quarter-on-quarter from US$1.9 billio",raw/sea/88182f891106_2018-08-22_20-_20Sea_20Second_20Quarter_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2018-08-22%20-%20Sea%20Second%20Quarter%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2018 Q1,GMV,1.9,USD,billion,2,"  E-commerce o Gross merchandise value (“GMV”) was US$1.9 billion, an increase of 199.5% year- on-year from US$648.3 million for the first quarter of 2017 and up 23.0% quarter- on-quarter from US$1.6 billio",raw/sea/70db9ca69f27_2018-05-16_20-_20Sea_20First_20Quarter_202018_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2018-05-16%20-%20Sea%20First%20Quarter%202018%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2017 Q4,GMV,1.6,USD,billion,2,"  E-Commerce o Gross merchandise value (“GMV”) was US$1.6 billion, an increase of 206.1% year- on-year from US$515.8 million for the fourth quarter of 2016 and up 48.3% quarter-on-quarter from US$1.1 billio",raw/sea/d149272a30b8_2018-02-28_20-_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202017_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2018-02-28%20-%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202017%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
Sea/Shopee,2017 Q4,GMV,4.1,USD,billion,2,"m US$85.5 million for the full year of 2016.  E-Commerce o GMV was US$4.1 billion, an increase of 257.5% year-on-year from US$1.2 billion for the full year of 2016. o Gross orders was 244.8 million, an increase of 231.7% y",raw/sea/d149272a30b8_2018-02-28_20-_20Sea_20Fourth_20Quarter_20and_20Full_20Year_202017_20Results.pdf.pdf,https://cdn.seagroup.com/webmain/static/resource/seagroup/press/2018-02-28%20-%20Sea%20Fourth%20Quarter%20and%20Full%20Year%202017%20Results.pdf,rounded issuer disclosure; observation period and reporting vintage require review; not Indonesia-only
