reference_year,indicator,value,unit,geography,question_basis,source_status,source_url,source_locator,interpretation_limit
2023,marketplace_share_exclusive_decomposition,18.23,percent,Indonesia,exclusive marketplace versus non-marketplace decomposition,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,Do not confuse with the multiple-response sales-media statistic.
2023,nonmarketplace_share_exclusive_decomposition,81.77,percent,Indonesia,exclusive marketplace versus non-marketplace decomposition,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 23 p.39,Do not infer absence from GDP or tax systems.
2023,marketplace_sales_media_business_share,17.80,percent,Indonesia,multiple-response share of businesses using media,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 14 p.74,Multiple responses allowed; percentages across media do not sum to 100.
2023,instant_messaging_sales_media_business_share,95.33,percent,Indonesia,multiple-response share of businesses using media,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 14 p.74,Multiple responses allowed; not a share of value.
2023,social_media_sales_media_business_share,33.29,percent,Indonesia,multiple-response share of businesses using media,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 14 p.74,Multiple responses allowed; not a share of value.
2023,marketplace_sales_media_transaction_value_share,32.74,percent,Indonesia,multiple-response attribution of transaction value,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 24 p.41,Multiple responses allowed; differs conceptually from exclusive 18.23 percent decomposition.
2023,instant_messaging_transaction_value_share,89.84,percent,Indonesia,multiple-response attribution of transaction value,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 24 p.41,Multiple responses allowed; transaction channels overlap.
2023,social_media_transaction_value_share,44.04,percent,Indonesia,multiple-response attribution of transaction value,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 24 p.41,Multiple responses allowed; transaction channels overlap.
2023,msme_share_of_ecommerce_businesses,96.91,percent,Indonesia,official business-size classification,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Figure 8 p.11,Does not establish informality or noncompliance for every business.
2023,ecommerce_workers,12.4,million_workers,Indonesia,official survey estimate,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Executive summary p.5,Survey estimate; not a platform-worker count.
2024,estimated_number_of_ecommerce_businesses,4400972,businesses,Indonesia,official survey estimate,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,"Executive summary; Appendix 3 p.52","Economic reference year 2024; 2025 survey."
2024,ecommerce_businesses_with_financial_reports,17.15,percent,Indonesia,financial report ownership,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Appendix 13 p.63,Not tax filing or audited status.
2024,ecommerce_transaction_value,1288.93,IDR_trillion,Indonesia,total e-commerce transaction value,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Executive summary,BPS reports 17.08 percent growth from 2023.
2024,marketplace_transaction_value,203.58,IDR_trillion,Indonesia,exclusive marketplace component of total transaction value,direct_official_statistical_estimate,https://www.unsiap.or.jp/sites/default/files/doc/2026-04/08_Measuring%20E-Commerce%20in%20Indonesia_Webinar%20on%20Digitalization_update1.pdf,"Adam Luthfi, BPS Directorate of Services Statistics; E-Commerce Transactions Value by Sales Media, 2024",Direct amount preferred to reconstruction from the rounded 15.79 percent share.
2024,marketplace_share_of_transaction_value,15.79,percent,Indonesia,exclusive marketplace share of total transaction value,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Executive summary,Do not confuse with multiple-response channel use.
2024,marketplace_sales_media_business_share,17.23,percent,Indonesia,multiple-response share of businesses using media,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Appendix 14 p.64,Multiple responses allowed.
2024,instant_messaging_sales_media_business_share,94.76,percent,Indonesia,multiple-response share of businesses using media,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Appendix 14 p.64,Multiple responses allowed.
2024,micro_small_business_share,97.38,percent,Indonesia,official business-size classification,direct_official_statistical_estimate,https://www.bps.go.id/id/publication/2025/11/28/647323224ecc656c2933571b/statistik-e-commerce-2024.html,Executive summary,Does not by itself establish informality or noncompliance.
