province,ecommerce_business_share_pct,ecommerce_business_share_rse_pct,estimated_ecommerce_businesses_2023,year,source_status,source_url,source_locator,definition_note
Sulawesi Selatan,2.41,6.39,91959,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sulawesi Tenggara,0.35,10.90,13359,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Gorontalo,0.18,5.78,6870,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Sulawesi Barat,0.22,4.97,8397,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Maluku,0.09,9.37,3435,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Maluku Utara,0.08,17.25,3053,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Papua Barat,0.04,15.38,1527,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Papua Barat Daya,0.04,7.67,1527,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Papua,0.07,11.29,2672,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Papua Selatan,0.04,9.15,1527,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Same definition."
Papua Tengah,0.03,40.16,1145,2023,withheld_high_rse,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Associated outcome/channel tables are withheld because RSE exceeds 25%."
Papua Pegunungan,0.02,66.87,763,2023,withheld_high_rse,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"Associated outcome/channel tables are withheld because RSE exceeds 25%."
Indonesia,100.00,1.91,3816750,2023,national_total,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,Appendix 29 p.97,"National total."
