province,financial_reports_have_pct,financial_reports_not_have_pct,website_sales_media_pct,email_sales_media_pct,instant_messaging_sales_media_pct,social_media_sales_media_pct,marketplace_sales_media_pct,year,source_status,source_url,source_locator,definition_note
Sulawesi Selatan,9.72,90.28,2.36,3.51,96.32,55.06,12.04,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Sulawesi Tenggara,14.23,85.77,0.44,1.50,98.00,66.12,8.56,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Gorontalo,4.01,95.99,0.38,,92.16,72.61,12.14,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Email value displayed as dash; sales-media question allows multiple answers."
Sulawesi Barat,11.58,88.42,0.90,1.49,98.53,58.36,4.66,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Maluku,24.41,75.59,2.66,6.58,91.32,53.78,14.90,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Maluku Utara,23.58,76.42,1.09,1.74,86.35,70.28,11.70,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Papua Barat,17.79,82.21,0.00,2.03,93.79,72.83,1.27,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Papua Barat Daya,38.26,61.74,2.93,2.86,92.58,69.76,10.04,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Papua,45.96,54.04,1.72,3.54,88.93,55.93,19.11,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Papua Selatan,13.46,86.54,1.39,0.10,96.42,57.28,3.49,2023,direct_official_statistical_table,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","Sales-media question allows multiple answers; percentages do not sum to 100."
Papua Tengah,,,,,,,,2023,withheld_high_rse,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","BPS displays NA because RSE exceeds 25%."
Papua Pegunungan,,,,,,,,2023,withheld_high_rse,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","BPS displays NA because RSE exceeds 25%."
Indonesia,15.19,84.81,1.77,3.34,95.33,33.29,17.80,2023,national_total,https://www.bps.go.id/id/publication/2025/01/30/d52af11843aee401403ecfa6/statistik-e-commerce-2023.htm,"Appendix 6 p.62 and Appendix 14 p.74","National estimate; sales-media question allows multiple answers."
