module,relative_path,size_bytes,size_human,file_type,data_rows_or_records,structure_or_pages,count_interpretation
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_20f_fy2019.htm,5535182,5.3 MB,HTML/XML source document,N/A,33965 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_20f_fy2020.htm,5553152,5.3 MB,HTML/XML source document,N/A,31269 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_20f_fy2021.htm,5187471,4.9 MB,HTML/XML source document,N/A,71424 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_f1_2017.htm,3949214,3.8 MB,HTML/XML source document,N/A,56560 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_fy2022_20f.pdf,1306059,1.2 MB,PDF source document,N/A,222 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_fy2024_20f_official.pdf,715614,698.8 KB,PDF source document,N/A,229 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_fy2025_20f_yahoo_cdn.htm,5641014,5.4 MB,HTML/XML source document,N/A,79416 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/extension_indonesia/sea_submissions.json,71842,70.2 KB,JSON data/source,N/A,structured object,source/API object; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/goto_annual_report_2023.pdf,5308358,5.1 MB,PDF source document,N/A,505 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/grab_2023_20f.htm,7413061,7.1 MB,HTML/XML source document,N/A,22492 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/grab_2023_results.htm,756241,738.5 KB,HTML/XML source document,N/A,2526 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/katadata_momentumworks_indonesia_2023.htm,617773,603.3 KB,HTML/XML source document,N/A,3812 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/sea_2023_20f.htm,5464961,5.2 MB,HTML/XML source document,N/A,77379 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/main_indonesia/world_bank_idn_official_exchange_rate_2023.json,331,331 B,JSON data/source,2,top-level records,JSON records
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q2_issuer_press_release.html,136719,133.5 KB,HTML/XML source document,N/A,141 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3.html,132691,129.6 KB,HTML/XML source document,N/A,114 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q3_primary_results_release.pdf,356670,348.3 KB,PDF source document,N/A,19 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4.html,135515,132.3 KB,HTML/XML source document,N/A,113 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2022Q4_primary_presentation.pdf,2509985,2.4 MB,PDF source document,N/A,22 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_issuer_press_release.html,132442,129.3 KB,HTML/XML source document,N/A,117 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q1_primary_presentation.pdf,1885266,1.8 MB,PDF source document,N/A,20 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_issuer_press_release.html,131019,127.9 KB,HTML/XML source document,N/A,110 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q2_primary_presentation.pdf,5007172,4.8 MB,PDF source document,N/A,28 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3.html,140578,137.3 KB,HTML/XML source document,N/A,127 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q3_primary_presentation.pdf,3941523,3.8 MB,PDF source document,N/A,30 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4.html,326274,318.6 KB,HTML/XML source document,N/A,942 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2023Q4_primary_presentation.pdf,5093646,4.9 MB,PDF source document,N/A,29 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1.html,247426,241.6 KB,HTML/XML source document,N/A,518 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q1_primary_presentation.pdf,3865603,3.7 MB,PDF source document,N/A,24 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_issuer_press_release.html,329980,322.2 KB,HTML/XML source document,N/A,939 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q2_primary_presentation.pdf,2436530,2.3 MB,PDF source document,N/A,24 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_issuer_press_release.html,431479,421.4 KB,HTML/XML source document,N/A,1244 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q3_primary_presentation.pdf,2648284,2.5 MB,PDF source document,N/A,26 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4.html,410746,401.1 KB,HTML/XML source document,N/A,1299 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4_primary_presentation.pdf,4472769,4.3 MB,PDF source document,N/A,37 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1.html,276616,270.1 KB,HTML/XML source document,N/A,762 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1_primary_presentation.pdf,6669410,6.4 MB,PDF source document,N/A,37 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2.html,356426,348.1 KB,HTML/XML source document,N/A,1227 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2_primary_presentation.pdf,8246952,7.9 MB,PDF source document,N/A,40 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3.html,320045,312.5 KB,HTML/XML source document,N/A,1209 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3_primary_presentation.pdf,4516867,4.3 MB,PDF source document,N/A,38 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q4_issuer_press_release.html,333209,325.4 KB,HTML/XML source document,N/A,1194 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q4_primary_presentation.pdf,4420808,4.2 MB,PDF source document,N/A,40 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1.html,263542,257.4 KB,HTML/XML source document,N/A,593 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1_primary_presentation.pdf,4702197,4.5 MB,PDF source document,N/A,31 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1.html,235620,230.1 KB,HTML/XML source document,N/A,4940 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1_sec_primary_exhibit.html,205013,200.2 KB,HTML/XML source document,N/A,3179 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2.html,364759,356.2 KB,HTML/XML source document,N/A,7538 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2_sec_primary_exhibit.html,281708,275.1 KB,HTML/XML source document,N/A,4592 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_exhibit_99_1.html,273534,267.1 KB,HTML/XML source document,N/A,4638 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_primary_exhibit.html,273534,267.1 KB,HTML/XML source document,N/A,4638 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_exhibit_99_1.html,328139,320.4 KB,HTML/XML source document,N/A,5785 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_primary_exhibit.html,328139,320.4 KB,HTML/XML source document,N/A,5785 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1.html,231647,226.2 KB,HTML/XML source document,N/A,1974 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1_sec_primary_exhibit.html,561739,548.6 KB,HTML/XML source document,N/A,1438 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_exhibit_99_1.html,746641,729.1 KB,HTML/XML source document,N/A,1762 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_primary_exhibit.html,746641,729.1 KB,HTML/XML source document,N/A,1762 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_exhibit_99_1.html,642981,627.9 KB,HTML/XML source document,N/A,1816 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_primary_exhibit.html,625398,610.7 KB,HTML/XML source document,N/A,1757 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4.html,167732,163.8 KB,HTML/XML source document,N/A,4473 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4_sec_primary_exhibit.html,738774,721.5 KB,HTML/XML source document,N/A,2471 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1.html,148576,145.1 KB,HTML/XML source document,N/A,3470 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1_sec_primary_exhibit.html,636586,621.7 KB,HTML/XML source document,N/A,2242 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2.html,240366,234.7 KB,HTML/XML source document,N/A,1997 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2_sec_primary_exhibit.html,562477,549.3 KB,HTML/XML source document,N/A,1889 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q3.html,354961,346.6 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q3_sec_primary_exhibit.html,354961,346.6 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q4.html,239253,233.6 KB,HTML/XML source document,N/A,2001 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q4_sec_primary_exhibit.html,398083,388.8 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q1.html,237222,231.7 KB,HTML/XML source document,N/A,2007 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q1_sec_primary_exhibit.html,249206,243.4 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q2.html,369947,361.3 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q2_sec_primary_exhibit.html,363318,354.8 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q3.html,239832,234.2 KB,HTML/XML source document,N/A,1995 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q3_sec_primary_exhibit.html,409460,399.9 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q4.html,239243,233.6 KB,HTML/XML source document,N/A,1999 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q4_sec_primary_exhibit.html,445491,435.0 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2026Q1_sec_exhibit_99_1.html,304295,297.2 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/GRAB_2026Q1_sec_primary_exhibit.html,294527,287.6 KB,HTML/XML source document,N/A,12 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_exhibit_99_1.html,348690,340.5 KB,HTML/XML source document,N/A,2064 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_primary_exhibit.html,348690,340.5 KB,HTML/XML source document,N/A,2064 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_exhibit_99_1.html,320486,313.0 KB,HTML/XML source document,N/A,2140 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_primary_exhibit.html,320486,313.0 KB,HTML/XML source document,N/A,2140 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_exhibit_99_1.html,307880,300.7 KB,HTML/XML source document,N/A,2362 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_primary_exhibit.html,307880,300.7 KB,HTML/XML source document,N/A,2362 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_exhibit_99_1.html,473458,462.4 KB,HTML/XML source document,N/A,3504 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_primary_exhibit.html,473458,462.4 KB,HTML/XML source document,N/A,3504 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2023Q1.html,38254,37.4 KB,HTML/XML source document,N/A,607 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2023Q2_sec_exhibit_99_1.html,297075,290.1 KB,HTML/XML source document,N/A,1997 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2023Q3.html,270827,264.5 KB,HTML/XML source document,N/A,12025 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_exhibit_99_1.html,468194,457.2 KB,HTML/XML source document,N/A,2788 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_primary_exhibit.html,468194,457.2 KB,HTML/XML source document,N/A,2788 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q1_sec_exhibit_99_1.html,328300,320.6 KB,HTML/XML source document,N/A,4613 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q1_sec_primary_exhibit.html,328300,320.6 KB,HTML/XML source document,N/A,4613 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q2_sec_exhibit_99_1.html,273474,267.1 KB,HTML/XML source document,N/A,2074 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q2_sec_primary_exhibit.html,273474,267.1 KB,HTML/XML source document,N/A,2074 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q3_sec_exhibit_99_1.html,297666,290.7 KB,HTML/XML source document,N/A,1828 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q3_sec_primary_exhibit.html,297666,290.7 KB,HTML/XML source document,N/A,1828 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q4_sec_exhibit_99_1.html,425083,415.1 KB,HTML/XML source document,N/A,7369 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2024Q4_sec_primary_exhibit.html,425083,415.1 KB,HTML/XML source document,N/A,7369 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q1_sec_exhibit_99_1.html,288202,281.4 KB,HTML/XML source document,N/A,5080 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q1_sec_primary_exhibit.html,288202,281.4 KB,HTML/XML source document,N/A,5080 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2.pdf,392554,383.4 KB,PDF source document,N/A,18 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2_sec_primary_exhibit.html,290385,283.6 KB,HTML/XML source document,N/A,5159 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3.pdf,393171,384.0 KB,PDF source document,N/A,18 pages,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3_sec_primary_exhibit.html,290133,283.3 KB,HTML/XML source document,N/A,5157 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q4_sec_exhibit_99_1.html,462046,451.2 KB,HTML/XML source document,N/A,8704 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2025Q4_sec_primary_exhibit.html,462046,451.2 KB,HTML/XML source document,N/A,8704 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2026Q1_sec_exhibit_99_1.html,286911,280.2 KB,HTML/XML source document,N/A,5089 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/SEA_2026Q1_sec_primary_exhibit.html,286911,280.2 KB,HTML/XML source document,N/A,5089 lines,source document; rows are not applicable
01_RAW_SOURCES,01_RAW_SOURCES/quarterly_releases/goto_q2_2022_pr.pdf,355109,346.8 KB,PDF source document,N/A,22 pages,source document; rows are not applicable
02_SOURCE_EXTRACTS,02_SOURCE_EXTRACTS/fy2023_indonesia_source_inputs.csv,4670,4.6 KB,CSV table,11,12 columns,data rows exclude header
02_SOURCE_EXTRACTS,02_SOURCE_EXTRACTS/grab_country_revenue_coverage_2021_2024.csv,4729,4.6 KB,CSV table,20,8 columns,data rows exclude header
02_SOURCE_EXTRACTS,02_SOURCE_EXTRACTS/indonesia_extension_source_inputs.csv,6701,6.5 KB,CSV table,24,11 columns,data rows exclude header
03_ANALYTIC_DATA,03_ANALYTIC_DATA/historical_company_panels/GOTO_GTV_REVENUE_Q1Q2_2022.csv,1576,1.5 KB,CSV table,2,9 columns,data rows exclude header
03_ANALYTIC_DATA,03_ANALYTIC_DATA/historical_company_panels/README.md,1140,1.1 KB,Documentation,N/A,20 lines,documentation; rows are not applicable
03_ANALYTIC_DATA,03_ANALYTIC_DATA/historical_company_panels/annual_extension_panel_preliminary.csv,1698,1.7 KB,CSV table,13,9 columns,data rows exclude header
03_ANALYTIC_DATA,03_ANALYTIC_DATA/historical_company_panels/source_locator.csv,3568,3.5 KB,CSV table,22,4 columns,data rows exclude header
03_ANALYTIC_DATA,03_ANALYTIC_DATA/historical_company_panels/table5_corrected_preliminary.csv,419,419 B,CSV table,3,11 columns,data rows exclude header
04_SCRIPTS,04_SCRIPTS/README.md,1216,1.2 KB,Documentation,N/A,13 lines,documentation; rows are not applicable
04_SCRIPTS,04_SCRIPTS/archive_goto_quarterly_presentations.py,10362,10.1 KB,Python script,N/A,230 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/archive_quarterly_sources.py,5263,5.1 KB,Python script,N/A,142 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/archive_sec_quarterly_exhibits.py,7089,6.9 KB,Python script,N/A,153 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/build_empirical_backend.py,23275,22.7 KB,Python script,N/A,468 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/build_file_manifest.py,6202,6.1 KB,Python script,N/A,141 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/build_quarterly_panel_source_coverage.py,10456,10.2 KB,Python script,N/A,221 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/IE_DATA_COMPILATION.py,22652,22.1 KB,Python script,N/A,583 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/build_panel.py,3187,3.1 KB,Python script,N/A,76 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/build_summary_stats.py,4225,4.1 KB,Python script,N/A,96 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/event_study.py,6163,6.0 KB,Python script,N/A,145 code lines,code file; rows are not applicable
04_SCRIPTS,04_SCRIPTS/original_project_scripts/fetch_market_data_yfinance.py,1152,1.1 KB,Python script,N/A,33 code lines,code file; rows are not applicable
