record_id,platform,segment_scope,period,year,frequency,geography_scope,geography_evidence,transaction_measure,transaction_value,revenue_measure,revenue_value,currency,unit_scale,transaction_status,revenue_status,source_file,source_locator,source_url,reporting_vintage,period_match,scope_match,directness_class,sample_family,canonical_record,admission_status,admission_reason,structural_break,source_dataset,full_pair,positive_denominator,ratio_eligible
OBS-0011,Blibli/GDN,3P Retail,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,12776.0,net revenue,41.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0012,Blibli/GDN,Institutions,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,4338.0,net revenue,1430.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0013,Blibli/GDN,Physical Stores,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,1055.0,net revenue,939.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0014,Blibli/GDN,Group,2022Q4,2022.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,20800.0,net revenue,4746.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0015,Blibli/GDN,1P Retail,2021Q4,2021.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,2612.0,net revenue,2329.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0016,Blibli/GDN,3P Retail,2021Q4,2021.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,5772.0,net revenue,-0.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,False,False
OBS-0017,Blibli/GDN,Institutions,2021Q4,2021.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,3313.0,net revenue,405.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0018,Blibli/GDN,Physical Stores,2021Q4,2021.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,898.0,net revenue,814.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0019,Blibli/GDN,Group,2021Q4,2021.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,12595.0,net revenue,3548.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0020,Blibli/GDN,1P Retail,2022FY,2022.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,9940.0,net revenue,8902.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0021,Blibli/GDN,3P Retail,2022FY,2022.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,37050.0,net revenue,199.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0022,Blibli/GDN,Institutions,2022FY,2022.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,10433.0,net revenue,2615.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0023,Blibli/GDN,Physical Stores,2022FY,2022.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,3973.0,net revenue,3553.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0024,Blibli/GDN,Group,2022FY,2022.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,61396.0,net revenue,15269.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0025,Blibli/GDN,1P Retail,2021FY,2021.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,7515.0,net revenue,6741.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0026,Blibli/GDN,3P Retail,2021FY,2021.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,15746.0,net revenue,122.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0027,Blibli/GDN,Institutions,2021FY,2021.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,8154.0,net revenue,1102.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0028,Blibli/GDN,Physical Stores,2021FY,2021.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,988.0,net revenue,892.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0029,Blibli/GDN,Group,2021FY,2021.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,32403.0,net revenue,8858.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2022_linked_0.pdf,page 2,https://asset-about.blibli.com/2023/03/Earnings-Release-FY22-PT-Global-Digital-Niaga-Tbk-1.pdf,blibli_fy2022_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0030,Blibli/GDN,1P Retail,2024Q4,2024.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,1429.0,net revenue,1122.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0031,Blibli/GDN,3P Retail,2024Q4,2024.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,14625.0,net revenue,424.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0032,Blibli/GDN,Institutions,2024Q4,2024.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,3440.0,net revenue,1635.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0033,Blibli/GDN,Physical Stores,2024Q4,2024.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,1650.0,net revenue,1403.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0034,Blibli/GDN,Group,2024Q4,2024.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,21144.0,net revenue,4584.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0035,Blibli/GDN,1P Retail,2023Q4,2023.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,1142.0,net revenue,956.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0036,Blibli/GDN,3P Retail,2023Q4,2023.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,11965.0,net revenue,279.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0037,Blibli/GDN,Institutions,2023Q4,2023.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,3120.0,net revenue,898.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0038,Blibli/GDN,Physical Stores,2023Q4,2023.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,1281.0,net revenue,1122.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0039,Blibli/GDN,Group,2023Q4,2023.0,quarter,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,17508.0,net revenue,3255.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,True,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0040,Blibli/GDN,1P Retail,2024FY,2024.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,5301.0,net revenue,4269.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0041,Blibli/GDN,3P Retail,2024FY,2024.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,54210.0,net revenue,1384.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0042,Blibli/GDN,Institutions,2024FY,2024.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,11649.0,net revenue,5671.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
OBS-0043,Blibli/GDN,Physical Stores,2024FY,2024.0,annual,issuer/segment scope; geography under review,not confirmed as explicit Indonesia-only pair,TPV,6250.0,net revenue,5392.0,IDR,billion,direct issuer disclosure,direct issuer disclosure,raw_sources/blibli_fy2024_linked_0.pdf,page 2,https://asset-about.blibli.com/2025/03/Earnings-Release-FY24-PT-Global-Digital-Niaga-Tbk.pdf,blibli_fy2024_linked_0,yes,same issuer table; definition review pending,direct_pair_issuer_or_segment,blibli_reported_source_universe,False,candidate_pending_geography_and_scope,reported_cells_extracted; geography_and_scope_review_pending,,data/longitudinal/blibli_reported_pairs_all_vintages.csv,True,True,True
