issuer,from_year,to_year,transaction_growth_pct,revenue_growth_pct,revenue_minus_transaction_growth_pp,growth_quadrant,clean_scope_transition,scope_note,interpretation
Shopify,2019,2020,95.74468085106382,85.64638783269962,-10.098293018364203,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Shopify,2020,2021,46.62359030100336,57.42809353131933,10.804503230315966,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Shopify,2021,2022,12.434330771692403,21.423218764853026,8.988887993160622,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Shopify,2022,2023,19.64991159113627,26.074490380480686,6.424578789344416,activity_up_revenue_up,no,Shopify sold most logistics businesses in May 2023; reported revenue growth differs from comparable-basis growth.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Shopify,2023,2024,23.892586155737348,25.77903682719547,1.886450671458121,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Shopify,2024,2025,29.481139337952268,30.135135135135126,0.6539957971828585,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Zalando,2020,2021,34.000560957367256,29.716862941618636,-4.2836980157486195,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Zalando,2021,2022,3.1815359283317246,-0.08885454896658818,-3.270390477298313,activity_up_revenue_down,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Zalando,2022,2023,-1.066354716777007,-1.949771866058303,-0.8834171492812959,activity_down_revenue_down,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Zalando,2023,2024,4.649716355683142,4.233419763188762,-0.41629659249438067,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
Zalando,2024,2025,14.687844924990046,16.775597067864755,2.0877521428747094,activity_up_revenue_up,no,ABOUT YOU acquisition affects the 2025 perimeter.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
eBay,2020,2021,-12.6,1.450686398598,14.050686398598,activity_down_revenue_up,no,eBay Korea disposal; do not treat the 2020-2021 transition as a clean perimeter comparison.,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
eBay,2021,2022,-15.446224256292906,-5.99808061420346,9.448143642089445,activity_down_revenue_down,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
eBay,2022,2023,-0.9472259810554773,3.236345074017355,4.183571055072832,activity_down_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
eBay,2023,2024,2.049180327868849,1.6910601265822889,-0.3581202012865603,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
eBay,2024,2025,6.559571619812576,7.945152192939808,1.385580573127232,activity_up_revenue_up,yes,,within-issuer nominal growth; not a causal estimate or cross-country pooled effect
