firm,fiscal_quarter,period_end,gmv_usd_m,gmv_usd_m_source,revenue_usd_m,revenue_usd_m_source,net_income_usd_m,net_income_usd_m_source,total_assets_usd_m,total_assets_usd_m_source,cash_and_equivalents_usd_m,cash_and_equivalents_usd_m_source,total_debt_usd_m,total_debt_usd_m_source,shares_outstanding_m,shares_outstanding_m_source,reporting_currency,fx_rate_to_usd
GOTO,2025Q3,,,"Total Group GTV, Rp176.5T (no in-release USD unless noted). Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-records-first-quarterly-adjusted-pre-tax-profit-and-raises-full-year-guidance-as-it-reports-2025-third-quarter-earnings, accessed 2026-08-06.",,"net Rp4.7T Post-deconsolidation basis Source: https://www.gotocompany.com/en/news/press/goto-group-records-first-quarterly-adjusted-pre-tax-profit-and-raises-full-year-guidance-as-it-reports-2025-third-quarter-earnings, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2025Q4,,,"Total Group GTV, Rp211.7T (no in-release USD unless noted). Post-deconsolidation basis. USD figures as stated in release ($300M/$1.1B), implies ~Rp16,650-16,700/USD -- not independently sourced, carried as release states it. Source: https://www.gotocompany.com/en/news/press/goto-delivers-strongest-year-yet-in-fourth-quarter-of-2025, accessed 2026-08-06.",300,"net Rp5.0T; net $300M as stated in release Post-deconsolidation basis. USD figures as stated in release ($300M/$1.1B), implies ~Rp16,650-16,700/USD -- not independently sourced, carried as release states it. Source: https://www.gotocompany.com/en/news/press/goto-delivers-strongest-year-yet-in-fourth-quarter-of-2025, accessed 2026-08-06.",,,,,,,,,,,IDR,
GOTO,2026Q1,,,"Total Group GTV, Rp236.3T (no in-release USD unless noted). Post-deconsolidation basis. Beyond the round-2 request's stated end date but publicly available; included. Source: https://www.gotocompany.com/en/news/press/goto-delivers-net-profit-for-the-first-time-as-it-reports-2026-first-quarter-earnings, accessed 2026-08-06.",,"net Rp5.341T Post-deconsolidation basis. Beyond the round-2 request's stated end date but publicly available; included. Source: https://www.gotocompany.com/en/news/press/goto-delivers-net-profit-for-the-first-time-as-it-reports-2026-first-quarter-earnings, accessed 2026-08-06.",,,,,,,,,,,IDR,
GRAB,2019FY,2019-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",-845.0,"SEC EDGAR CIK 0001855612, accession 0001193125-22-125634, form 20-F, filed 2022-04-28",-3747.0,"SEC EDGAR CIK 0001855612, accession 0001193125-22-125634, form 20-F, filed 2022-04-28",,,,,,,,,USD,
GRAB,2020FY,2020-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",469.0,"SEC EDGAR CIK 0001855612, accession 0000950170-23-014551, form 20-F, filed 2023-04-26",-2608.0,"SEC EDGAR CIK 0001855612, accession 0000950170-23-014551, form 20-F, filed 2023-04-26",5442.0,"SEC EDGAR CIK 0001855612, accession 0001193125-22-125634, form 20-F, filed 2022-04-28",2173.0,"SEC EDGAR CIK 0001855612, accession 0001193125-22-125634, form 20-F, filed 2022-04-28",,,,,USD,
GRAB,2021FY,2021-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",675.0,"SEC EDGAR CIK 0001855612, accession 0000950170-24-037611, form 20-F, filed 2024-03-28",-3449.0,"SEC EDGAR CIK 0001855612, accession 0000950170-24-037611, form 20-F, filed 2024-03-28",11178.0,"SEC EDGAR CIK 0001855612, accession 0000950170-23-014551, form 20-F, filed 2023-04-26",4991.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000013, form 20-F, filed 2025-03-14",,,,,USD,
GRAB,2022FY,2022-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",1433.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000013, form 20-F, filed 2025-03-14",-1683.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000013, form 20-F, filed 2025-03-14",9170.0,"SEC EDGAR CIK 0001855612, accession 0000950170-24-037611, form 20-F, filed 2024-03-28",1952.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",,,,,USD,
GRAB,2022H1,2022-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",549.0,"SEC EDGAR CIK 0001855612, accession 0000950170-23-044039, form 6-K, filed 2023-08-23",-970.0,"SEC EDGAR CIK 0001855612, accession 0000950170-23-044039, form 6-K, filed 2023-08-23",,,,,,,,,USD,
GRAB,2022Q1,,4800,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Release terms this 'Total GMV,' not 'On-Demand GMV' (later terminology) Source: https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-First-Quarter-2022-Results/default.aspx, accessed 2026-08-06.",228,"Sea consolidated GAAP revenue. Source: https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-First-Quarter-2022-Results/default.aspx, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2022Q2,,5100,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). 'Total GMV' terminology Source: https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-Second-Quarter-2022-Results/default.aspx, accessed 2026-08-06.",321,"Sea consolidated GAAP revenue. Source: https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-Second-Quarter-2022-Results/default.aspx, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2022Q3,,5100,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). 'Total GMV' terminology Source: https://www.businesswire.com/news/home/20221116005478/en/Grab-Reports-Third-Quarter-2022-Results, accessed 2026-08-06.",382,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20221116005478/en/Grab-Reports-Third-Quarter-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2022Q4,,5000,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). 'Total GMV' terminology Source: https://www.businesswire.com/news/home/20230223005467/en/Grab-Reports-Fourth-Quarter-and-Full-Year-2022-Results, accessed 2026-08-06.",502,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20230223005467/en/Grab-Reports-Fourth-Quarter-and-Full-Year-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2023FY,2023-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",2359.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",-434.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",8792.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000013, form 20-F, filed 2025-03-14",3138.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",,,,,USD,
GRAB,2023H1,2023-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",1092.0,"SEC EDGAR CIK 0001855612, accession 0000950170-24-099685, form 6-K, filed 2024-08-22",-378.0,"SEC EDGAR CIK 0001855612, accession 0000950170-24-099685, form 6-K, filed 2024-08-22",,,,,,,,,USD,
GRAB,2023Q1,,4958,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.grab.com/sg/press/others/grab-reports-first-quarter-2023-results/, accessed 2026-08-06.",525,"Sea consolidated GAAP revenue. Source: https://www.grab.com/sg/press/others/grab-reports-first-quarter-2023-results/, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2023Q3,,5341,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20231109083952/en/Grab-Reports-Third-Quarter-2023-Results, accessed 2026-08-06.",615,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20231109083952/en/Grab-Reports-Third-Quarter-2023-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2023Q4,,,,653,"Sea consolidated GAAP revenue. Source: https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-Fourth-Quarter-and-Full-Year-2023-Results-and-Announces-Inaugural-Share-Repurchase-Program-of-Up-to-500-Million/default.aspx, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2024FY,2024-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",2797.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",-105.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",9295.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",2964.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",,,,,USD,
GRAB,2024H1,2024-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",1317.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000052, form 6-K, filed 2025-08-18",-157.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000052, form 6-K, filed 2025-08-18",,,,,,,,,USD,
GRAB,2024Q1,,4242,"On-Demand GMV (mobility segment only). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-First-Quarter-2024-Results/default.aspx",653,"Earnings release, 2024-05-15: https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-First-Quarter-2024-Results/default.aspx",,,,,,,,,,,USD,
GRAB,2024Q2,,4400,"On-Demand GMV (mobility segment only, not total Group GTV). Source: https://www.grab.com/sg/press/others/grab-reports-second-quarter-2024-results/, accessed 2026-08-06.",664,"Source: https://www.grab.com/sg/press/others/grab-reports-second-quarter-2024-results/, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2024Q3,,4700,"On-Demand GMV (mobility segment only, not total Group GTV). Sourced via SEC 6-K exhibit (official filed copy of the press release) Source: https://www.sec.gov/Archives/edgar/data/1855612/000185561224000004/grab-20240930xex991fx3.htm, accessed 2026-08-06.",716,"Sourced via SEC 6-K exhibit (official filed copy of the press release) Source: https://www.sec.gov/Archives/edgar/data/1855612/000185561224000004/grab-20240930xex991fx3.htm, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2024Q4,,5000,"On-Demand GMV (mobility segment only). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-full-year-2024-results/",764,"Earnings release, 2025-02-20: https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-full-year-2024-results/",,,,,,,,,,,USD,
GRAB,2025FY,2025-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",3370.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",268.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",11983.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",3433.0,"SEC EDGAR CIK 0001855612, accession 0001855612-26-000020, form 20-F, filed 2026-03-06",,,,,USD,
GRAB,2025H1,2025-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",1592.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000052, form 6-K, filed 2025-08-18",59.0,"SEC EDGAR CIK 0001855612, accession 0001855612-25-000052, form 6-K, filed 2025-08-18",,,,,,,,,USD,
GRAB,2025Q1,,4900,"On-Demand GMV (mobility segment only). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://www.grab.com/sg/press/others/grab-reports-first-quarter-2025-results/",773,"Earnings release, 2025-04-30: https://www.grab.com/sg/press/others/grab-reports-first-quarter-2025-results/",,,,,,,,,,,USD,
GRAB,2025Q2,,5400,"On-Demand GMV (mobility segment only, not total Group GTV). Sourced via SEC 6-K exhibit Source: https://www.sec.gov/Archives/edgar/data/1855612/000185561225000045/a2025q2-earningspressrelea.htm, accessed 2026-08-06.",819,"Sourced via SEC 6-K exhibit Source: https://www.sec.gov/Archives/edgar/data/1855612/000185561225000045/a2025q2-earningspressrelea.htm, accessed 2026-08-06.",,,,,,,,,,,USD,
GRAB,2025Q3,,5800,"On-Demand GMV (mobility segment only). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://www.grab.com/sg/press/others/grab-reports-third-quarter-2025-results/",873,"Earnings release, 2025-11-04: https://www.grab.com/sg/press/others/grab-reports-third-quarter-2025-results/",,,,,,,,,,,USD,
GRAB,2025Q4,,6100,"On-Demand GMV (mobility segment only). Manually verified from earnings release, cross-checked against a second independent rendering (WebSearch text mirror) before recording, not taken from a single fetch at face value. Source: https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-2025-results-with-first-full-year-net-profit/",906,"Earnings release, 2026-02-12: https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-2025-results-with-first-full-year-net-profit/",,,,,,,,,,,USD,
SEA,2015FY,2015-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",,,-103.366,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",,,116.203,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",,,,,USD,
SEA,2016FY,2016-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",345.67,"SEC EDGAR CIK 0001703399, accession 0001144204-19-011639, form 20-F, filed 2019-03-01",-222.867,"SEC EDGAR CIK 0001703399, accession 0001144204-19-011639, form 20-F, filed 2019-03-01",485.775,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",170.078,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",,,176.593,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",USD,
SEA,2017FY,2017-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",414.19,"SEC EDGAR CIK 0001703399, accession 0001140361-20-008832, form 20-F, filed 2020-04-14",-560.485,"SEC EDGAR CIK 0001703399, accession 0001140361-20-008832, form 20-F, filed 2020-04-14",1988.28,"SEC EDGAR CIK 0001703399, accession 0001144204-19-011639, form 20-F, filed 2019-03-01",1347.361,"SEC EDGAR CIK 0001703399, accession 0001144204-19-011639, form 20-F, filed 2019-03-01",,,0.0,"SEC EDGAR CIK 0001703399, accession 0001193125-18-113294, form 20-F, filed 2018-04-11",USD,
SEA,2018FY,2018-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",826.968,"SEC EDGAR CIK 0001703399, accession 0001140361-21-013089, form 20-F, filed 2021-04-16",-961.241,"SEC EDGAR CIK 0001703399, accession 0001140361-21-013089, form 20-F, filed 2021-04-16",2192.669,"SEC EDGAR CIK 0001703399, accession 0001140361-20-008832, form 20-F, filed 2020-04-14",1002.841,"SEC EDGAR CIK 0001703399, accession 0001140361-20-008832, form 20-F, filed 2020-04-14",1.026,"SEC EDGAR CIK 0001703399, accession 0001144204-19-011639, form 20-F, filed 2019-03-01",,,USD,
SEA,2019FY,2019-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",2175.378,"SEC EDGAR CIK 0001703399, accession 0001140361-22-015578, form 20-F, filed 2022-04-22",-1462.799,"SEC EDGAR CIK 0001703399, accession 0001140361-22-015578, form 20-F, filed 2022-04-22",5224.169,"SEC EDGAR CIK 0001703399, accession 0001140361-21-013089, form 20-F, filed 2021-04-16",3118.988,"SEC EDGAR CIK 0001703399, accession 0001140361-21-013089, form 20-F, filed 2021-04-16",,,,,USD,
SEA,2020FY,2020-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",4375.664,"SEC EDGAR CIK 0001703399, accession 0001140361-23-017021, form 20-F, filed 2023-04-06",-1618.056,"SEC EDGAR CIK 0001703399, accession 0001140361-23-017021, form 20-F, filed 2023-04-06",10455.671,"SEC EDGAR CIK 0001703399, accession 0001140361-22-015578, form 20-F, filed 2022-04-22",6166.88,"SEC EDGAR CIK 0001703399, accession 0001140361-22-015578, form 20-F, filed 2022-04-22",,,,,USD,
SEA,2020H1,2020-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",1596.954,"SEC EDGAR CIK 0001703399, accession 0001140361-21-030692, form 6-K, filed 2021-09-08",-674.474,"SEC EDGAR CIK 0001703399, accession 0001140361-21-030692, form 6-K, filed 2021-09-08",,,,,,,,,USD,
SEA,2021FY,2021-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",9955.19,"SEC EDGAR CIK 0001703399, accession 0001140361-24-022429, form 20-F, filed 2024-04-26",-2046.759,"SEC EDGAR CIK 0001703399, accession 0001140361-24-022429, form 20-F, filed 2024-04-26",18756.025,"SEC EDGAR CIK 0001703399, accession 0001140361-23-017021, form 20-F, filed 2023-04-06",9247.762,"SEC EDGAR CIK 0001703399, accession 0001140361-23-017021, form 20-F, filed 2023-04-06",,,,,USD,
SEA,2021H1,2021-06-30,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",4044.192,"SEC EDGAR CIK 0001703399, accession 0001140361-21-030692, form 6-K, filed 2021-09-08",-856.132,"SEC EDGAR CIK 0001703399, accession 0001140361-21-030692, form 6-K, filed 2021-09-08",,,,,,,,,USD,
SEA,2022FY,2022-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",12449.705,"SEC EDGAR CIK 0001703399, accession 0001193125-25-084311, form 20-F, filed 2025-04-17",-1651.421,"SEC EDGAR CIK 0001703399, accession 0001193125-25-084311, form 20-F, filed 2025-04-17",17002.796,"SEC EDGAR CIK 0001703399, accession 0001140361-24-022429, form 20-F, filed 2024-04-26",6029.859,"SEC EDGAR CIK 0001703399, accession 0001140361-24-022429, form 20-F, filed 2024-04-26",,,,,USD,
SEA,2022Q1,,17400,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20220516006121/en/Sea-Limited-Reports-First-Quarter-2022-Results, accessed 2026-08-06.",2900,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20220516006121/en/Sea-Limited-Reports-First-Quarter-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2022Q2,,19000,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20220815005740/en/Sea-Limited-Reports-Second-Quarter-2022-Results, accessed 2026-08-06.",2900,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20220815005740/en/Sea-Limited-Reports-Second-Quarter-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2022Q3,,19100,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). Source: https://www.businesswire.com/news/home/20221114006143/en/Sea-Limited-Reports-Third-Quarter-2022-Results, accessed 2026-08-06.",3200,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20221114006143/en/Sea-Limited-Reports-Third-Quarter-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2022Q4,,18000,"Shopee GMV (e-commerce segment, not Sea's consolidated total revenue). GMV as constant-currency comparison in the 2022Q4 release; nominal GMV, not currency-adjusted Source: https://www.businesswire.com/news/home/20230306005889/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2022-Results, accessed 2026-08-06.",3500,"Sea consolidated GAAP revenue. Source: https://www.businesswire.com/news/home/20230306005889/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2022-Results, accessed 2026-08-06.",,,,,,,,,,,USD,
SEA,2023FY,2023-12-31,,"Not in XBRL -- GTV/GMV is an operating KPI disclosed in MD&A prose and investor decks, not a tagged financial-statement line item. Pull manually from 20-F MD&A / shareholder letter.",11453.664,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",150.726,"SEC EDGAR CIK 0001703399, accession 0001140361-26-015366, form 20-F, filed 2026-04-17",18883.232,"SEC EDGAR CIK 0001703399, accession 0001193125-25-084311, form 20-F, filed 2025-04-17",2811.056,"SEC EDGAR CIK 0001703399, accession 0001193125-25-084311, form 20-F, filed 2025-04-17",,,,,USD,
